Book,Author(s),Original language,First published,Approximate sales in millions,Genre,descripcion
A Tale of Two Cities,Charles Dickens,English,1859,200.0,Historical fiction,"Charles Dickens' ""A Tale of Two Cities"" is a literary masterpiece that weaves a compelling narrative against the tumultuous backdrop of the French Revolution. This historical novel explores themes of resurrection, sacrifice, and the stark contrast between two cities, London and Paris, during a time of upheaval. The story begins with one of the most famous opening lines in literature: ""It was the best of times, it was the worst of times..."" Through the lives of characters like the virtuous Charles Darnay, the dissolute Sydney Carton, and the vengeful Madame Defarge, Dickens paints a vivid picture of a society on the brink of revolution. Amidst the chaos and violence of revolutionary France, the novel delves deep into the personal struggles and triumphs of its characters. The selfless sacrifice of Sydney Carton, who finds redemption through an act of incredible courage, is a central and moving element of the story. Dickens' storytelling prowess shines as he masterfully combines historical accuracy with unforgettable characters. His portrayal of the Reign of Terror's brutality and the stark divisions between social classes is both poignant and thought-provoking. ""A Tale of Two Cities"" is a tale of love and friendship, of the enduring human spirit, and the hope that even in the darkest of times, there is the possibility of transformation and renewal. It's a classic that continues to resonate with readers, reminding us of the power of compassion and the enduring struggle for justice and equality. This novel is an essential addition to any reader's bookshelf, offering a timeless exploration of the human experience against a backdrop of historical upheaval. ABOUT THE AUTHOR Charles Dickens (1812-1870) was a world-renowned English writer. He is famous for his novels that depict the social realities of Victorian England. Among his most well-known works are ""Oliver Twist"" (1837-1839), ""David Copperfield"" (1849-1850), ""Great Expectations"" (1860-1861), and ""A Christmas Carol"" (1843). Dickens was a keen observer of the society of his time, shedding light on inequalities, poverty, and injustices. His writing style was characterized by humor, vivacity, and compassion for marginalized characters. Dickens contributed to shaping English literature, and his legacy still endures today."
Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120.0,Fantasy,"An adult edition of the hugely popular book. Find out how Harry discovers his true heritage at Hogwarts School of Wizardry and Witchcraft, the reason behind his parents mysterious death, who is out to kill him, and how he uncovers the most fabled secret of all time."
And Then There Were None,Agatha Christie,English,1939,100.0,Mystery,"First, there were ten—a curious assortment of strangers summoned as weekend guests to a little private island off the coast of Devon. Their host, an eccentric millionaire unknown to all of them, is nowhere to be found. All that the guests have in common is a wicked past they're unwilling to reveal—and a secret that will seal their fate. For each has been marked for murder. A famous nursery rhyme is framed and hung in every room of the mansion: ""Ten little boys went out to dine; One choked his little self and then there were nine. Nine little boys sat up very late; One overslept himself and then there were eight. Eight little boys traveling in Devon; One said he'd stay there then there were seven. Seven little boys chopping up sticks; One chopped himself in half and then there were six. Six little boys playing with a hive; A bumblebee stung one and then there were five. Five little boys going in for law; One got in Chancery and then there were four. Four little boys going out to sea; A red herring swallowed one and then there were three. Three little boys walking in the zoo; A big bear hugged one and then there were two. Two little boys sitting in the sun; One got frizzled up and then there was one. One little boy left all alone; He went out and hanged himself and then there were none."" When they realize that murders are occurring as described in the rhyme, terror mounts. One by one they fall prey. Before the weekend is out, there will be none. Who has choreographed this dastardly scheme? And who will be left to tell the tale? Only the dead are above suspicion."
The Hobbit,J. R. R. Tolkien,English,1937,100.0,Fantasy,"Bilbo Baggines, a Hobbit, wanted to be left alone but a wizard and a band of homeless dwarves draw Bilbo into a quest where he confronts evil orcs, savage wolves, and the great dragon Smaug."
"The Lion, the Witch and the Wardrobe",C. S. Lewis,English,1950,85.0,"Fantasy, Children's fiction","C. S. Lewis was a British author, lay theologian, and contemporary of J.R.R. Tolkien. The Lion, the Witch, and the Wardrobe is the first book in The Chronicles of Narnia."
She: A History of Adventure,H. Rider Haggard,English,1887,83.0,Adventure,"Hardcover reprint of the original 1887 edition - beautifully bound in brown cloth covers featuring titles stamped in gold, 8vo - 6x9"". No adjustments have been made to the original text, giving readers the full antiquarian experience. for quality purposes, all text and images are printed as black and white. This item is printed on demand. Book Information: Haggard, H. Rider (Henry Rider). She: A History of Adventure. Indiana: Repressed Publishing LLC, 2012. Original Publishing: Haggard, H. Rider (Henry Rider). She: A History of Adventure, . London: Longmans, Green, 1887."
The Da Vinci Code,Dan Brown,English,2003,80.0,Mystery thriller,"Robert Langdon menerima telepon misterius yang mengundangnya ke Museum Louvre Paris pada tengah malam. Sesampai di sana, yang ditemui Langdon adalah mayat telanjang sang kurator museum dengan posisi dan tato aneh di perutnya. Langdon terkejut ketika menyadari bahwa teka-teki itu mengarah ke misteri terbesar sepanjang sejarah yang petunjuknya tersembunyi dalam karya-karya Da Vinci. Misteri tentang persaudaraan rahasia yang melibatkan nama-nama besar. Persaudaraan yang menjaga sebuah fakta sejarah yang sangat mengejutkan. Fakta yang bisa mengguncang keyakinan miliaran manusia di dunia. Dengan bantuan kriptolog Sophie Neveu, Langdon berusaha memecahkan misteri itu sambil berusaha menghindari kejaran polisi sepanjang Paris, London, dan kota lainnya. Langdon harus segera memecahkan misteri itu dan mengalahkan musuh tersembunyi yang menghadang di setiap langkah mereka dan mengancam nyawa. [Mizan, Mizan Publishing, Novel, Misteri, Thriller, Terjemahan, Indonesia]"
Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65.0,Fantasy,"'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.' Dark times have come to Hogwarts. After the Dementors' attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord's return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort's savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers."
Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65.0,Fantasy,"There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building... wherever they had murdered... When Dumbledore arrives at Privet Drive one summer night to collect Harry Potter, his wand hand is blackened and shrivelled, but he does not reveal why. Secrets and suspicion are spreading through the wizarding world, and Hogwarts itself is not safe. Harry is convinced that Malfoy bears the Dark Mark: there is a Death Eater amongst them. Harry will need powerful magic and true friends as he explores Voldemort's darkest secrets, and Dumbledore prepares him to face his destiny... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers."
Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65.0,Fantasy,"'Give me Harry Potter,' said Voldemort's voice, 'and none shall be harmed. Give me Harry Potter, and I shall leave the school untouched. Give me Harry Potter, and you will be rewarded.' As he climbs into the sidecar of Hagrid's motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind. The protective charm that has kept Harry safe until now is broken, but he cannot keep hiding. The Dark Lord is breathing fear into everything Harry loves and to stop him Harry will have to find and destroy the remaining Horcruxes. The final battle must begin - Harry must stand and face his enemy... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers."
